country,code,indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
IDA total,IDA,"Literacy rate, adult total (% of people ages 15 and above)",50.58911896,51.4650116,52.1868515,52.85918045,53.49436188,54.21192932,55.47975159,56.30218887,55.9213295,56.66044998,57.3848381,58.18455887,58.81607056,58.91352081,57.66038895,57.85441971,58.42972183,58.8841095,60.62506104,61.68759918,61.75765991,62.88037109,63.5105896,64.92337036,66.31556702,66.90975189,67.99919128,68.21135712,68.48497772,68.93624115,69.35542297,69.72704315,70.0536499
IDA blend,IDB,"Literacy rate, adult total (% of people ages 15 and above)",53.81758881,55.50138092,56.20167923,56.52333069,57.3153801,58.08850861,58.83097839,59.6169281,57.39178085,58.1937294,58.9518013,60.08338928,60.7952919,60.34812164,61.03979111,59.5759201,60.52696991,60.75920105,61.22974014,61.42074966,62.61869049,62.50836182,63.40105057,64.12650299,64.85183716,65.05888367,67.43364716,67.51589966,67.87181091,68.20619202,68.53591919,68.86318207,69.19120789
Indonesia,IDN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,90.37999725,,91.98000336,,92.19000244,92.58000183,92.31999969,92.80999756,,,95.12000275,95.22000122,95.37999725,,95.66000366,,96,,,,
IDA only,IDX,"Literacy rate, adult total (% of people ages 15 and above)",48.69519043,49.17055893,49.91707993,50.59679031,51.14810944,51.82390976,53.34238052,54.17686844,55.04824829,55.75162125,56.45650864,57.08248138,57.67206955,58.06575012,55.83211899,56.90753174,57.2826004,57.49354172,59.8737793,61.3823204,60.85393143,62.61679077,63.12210846,64.88317108,66.61038971,67.40692902,68.82772827,69.09024811,69.30441284,69.79548645,70.2420578,70.61737823,70.92362976
Isle of Man,IMN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,61.00999832,,,,,62.75,,,,68.33547187,69.30000305,69.83505872,,,,,,73.69754303,74.90842683,75.5437727,76.07157662,76.31999969,81.69999695,
Not classified,INX,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,73.05999756,,,,,,77,,,82.44000244,82.33000183,,82.95999908,83.22148229,83.66434919,83.51999664,83.62999725,84.62999725,84.70999908,85.28324947,85.54000092,85.94672596,86.86874687,87.37870319,87.90278742,88.45548802,88.59399949,88.92333398,
Iraq,IRQ,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,74.05000305,,,,,,,,,,,,77.19999695,,82.19999695,,83.30000305,85.59999847,,,,84.05886358,,,
Iceland,ISL,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,98.41999817,,,,,,,,,,98.84999847,,,,,,,,99.34999847,,,,,
Jamaica,JAM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,79.91999817,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,89.88999939,,91.12999725,,92.19999695,,,92.55000305,95.90000153,97.88999939,,,,,,95.43000031,,,,,94.84999847,
Japan,JPN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,99.51000214,,,,,,,,,,99.73000336,,,,,,,,,,,,,,,
Kenya,KEN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,82.23000336,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,KGZ,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,98.69999695,,,,,,,,,,99.23999786,,,,,,,,,,,,,,,
Cambodia,KHM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,67.33999634,,,,,,73.61000061,,,,76.87000275,76.13999939,,,,79.65000153,78.05999756,80.52999878,,,,87.66000366,82.5991676,71.93000031,,,
Kiribati,KIR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,97.95999908,,98.63229661,,,,
St. Kitts and Nevis,KNA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,97.97000122,,,,,,,,,,,,,,,,
Kuwait,KWT,"Literacy rate, adult total (% of people ages 15 and above)",,,,78.40000153,,,,,,,,,,93.26999664,93.27999878,93.66000366,93.90000153,,94.47000122,,95.51000214,95.58999634,,95.69000244,,96.04000092,96.05999756,,96.45999908,,,,
