Country,indicator,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Europe & Central Asia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.8006134,95.95281219,96.126297,96.26489258,96.42275238,96.54141235,96.6375885,,96.89903259,96.98922729,97.07221222,97.1905365,97.24685669,97.32713318,97.44576263,97.70620728,97.87332916,98.01886749,98.11916351,98.18032837,98.2227478,98.27275085,98.33394623,98.41284943,98.50190735,98.5681076,98.60572815,98.73869324,98.74965668,98.76756287,
Ecuador,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,83.55000305,,,,,,,,88.30000305,,,,,,,,,,,90.98000336,,,,,,92.09999847,92.38999939,92.25,91.84999847,91.58999634,92.05999756,93.29000092,94.22000122,94.45999908,94.34999847,92.83000183,,,93.62999725,94.48000336,96.26000214,,
"Egypt, Arab Rep.","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,38.20000076,,,,,,,,,,44.41999817,,,,,,,,,,55.59000015,,,,,,,,,67.33000183,66.37000275,,,,72.05000305,,73.87000275,72.44000244,,,,71.16999817,,,,82.08333128,79.45657889,,
Euro area,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.50999832,,,,,,64.66000366,,,,,,,,,,,,,,,,
Spain,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,92.80999756,,,,,,,,,,96.48999786,,,,,,,,,,,,,97.16999817,97.75,97.75,97.94000244,97.62999725,97.68000031,97.75,97.77999878,97.88999939,98.08000183,98.08999634,98.13999939,98.25,,98.44000244,,98.58999634,99.69999695,,,
Estonia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.73000336,,,,,,,,,,,99.76999664,,,,,,,,,,,99.88999939,,,,,,,,,,,,,
Ethiopia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.01000023,,,,,,,,,,35.90000153,,,39,,,,,,48.35123109,,,47.49000168,,,55.04999924,,54.88612601,60.45999908,,
European Union,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,57.77310944,58.30397034,58.82714081,59.21538162,59.73727036,59.99568176,60.18923187,60.43539047,61.01388931,61.51008987,61.88290024,62.47269821,63.10979843,63.56703186,61.80775833,62.32101822,62.79779053,63.03142166,63.61748886,63.84658051,62.62778091,62.25881958,62.65586853,63.07828903,63.22407913,64.56970215,64.82185364,65.47820282,66.0120163,66.43054962,66.90352631,67.60903168,67.42115021,67.21476746,67.10639954,67.1866684,67.31555176,67.4712677,67.57801056
Finland,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.23000336,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.86000061,,,
United Kingdom,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.65000153,,,,,,,,,,,,99.58999634,,,99.36000061,99.65000153,99.90208188,99.94031712,99.96560636,99.56999969,99.55999756,99.68000031
Ghana,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.90000153,,,,,,,,,,71.5,,,,,60.21989062,,64.48999786,,,,76.48999786,,,
Gibraltar,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.54999924,,,,,,,29.70000076,,,,,,,25.30999947,,,,32,,,,39.61999893,,,,,,
"Gambia, The","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.81999969,,,,,,,,,,,,,,,50.77999878,,,53.15999985,,,51.63999939,,,
Guinea-Bissau,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,19.95999908,,,,,,,,,,,,,,,,,,,,,41.36000061,,,,,,,,,,,,,,,,,,,54.88000107,,,63.93000031,,
